model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@10,hit@20,hit@30,hit@50,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
BAAI/bge-m3,baseline,-,0,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.489676,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Betonfertigteil hochfest | Magerbeton | Dichtungsbahn Polyolefin FPO | Hartbeton einschichtig | Betonfertigteil normalfest | Betonziegel | Hartbeton zweischichtig | Konstruktionsvollholz,0.489676 | 0.479320 | 0.476070 | 0.467292 | 0.456337 | 0.455476 | 0.452878 | 0.449988 | 0.447032 | 0.442824
BAAI/bge-m3,baseline,-,1,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.489676,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Betonfertigteil hochfest | Magerbeton | Dichtungsbahn Polyolefin FPO | Hartbeton einschichtig | Betonfertigteil normalfest | Betonziegel | Hartbeton zweischichtig | Konstruktionsvollholz,0.489676 | 0.479320 | 0.476070 | 0.467292 | 0.456337 | 0.455476 | 0.452878 | 0.449987 | 0.447032 | 0.442824
BAAI/bge-m3,baseline,-,2,IfcBeam Beton NPK G C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.489676,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Glasfaserbeton | Betonfertigteil hochfest | Magerbeton | Dichtungsbahn Polyolefin FPO | Hartbeton einschichtig | Betonfertigteil normalfest | Betonziegel | Hartbeton zweischichtig | Konstruktionsvollholz,0.489676 | 0.479320 | 0.476070 | 0.467292 | 0.456337 | 0.455476 | 0.452878 | 0.449988 | 0.447032 | 0.442824
BAAI/bge-m3,baseline,-,3,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,4,IfcBeam Beton C30/37,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Tiefbaubeton,0.523014,4,False,0.000000,1.000000,1.000000,1.000000,1.000000,0.250000,0.430677,0.250000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,5,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,6,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,7,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,8,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
BAAI/bge-m3,baseline,-,9,IfcBeam Beton C30/37,Tiefbaubeton,Tiefbaubeton,1,Tiefbaubeton,0.523014,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Tiefbaubeton | Betonfertigteil hochfest | Betonziegel | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Vorgefertigter Betonpfahl | Magerbeton,0.523014 | 0.512123 | 0.482275 | 0.481681 | 0.472896 | 0.465148 | 0.465039 | 0.463787 | 0.460058 | 0.460024
