model,pipeline_variant,cross_encoder_model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
google/embeddinggemma-300m,baseline,-,0,B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 800,0.450090,29,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Baugrubensicherung Schlitzwand 800 | Blei | Backstein | Gusseisen | Baugrubensicherung Schlitzwand 400 | Bohrpfahlbeton | Bitumenemulsion | Sand | Betonziegel | Tiefbaubeton,0.450090 | 0.423244 | 0.418893 | 0.411877 | 0.409277 | 0.401349 | 0.395411 | 0.395065 | 0.390625 | 0.383610
google/embeddinggemma-300m,baseline,-,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.838021,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Betonziegel | Magerbeton | Hartbeton einschichtig | Bohrpfahlbeton | Tiefbaubeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Glasfaserbeton | Hartbeton zweischichtig | Bitumenemulsion,0.838021 | 0.812681 | 0.791474 | 0.777772 | 0.766537 | 0.761294 | 0.756900 | 0.729808 | 0.713183 | 0.678500
google/embeddinggemma-300m,baseline,-,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.723324,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Magerbeton | Hartbeton einschichtig | Bohrpfahlbeton | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Glasfaserbeton | Hartbeton zweischichtig | Gusseisen,0.723324 | 0.706200 | 0.694617 | 0.676446 | 0.674901 | 0.672039 | 0.661683 | 0.643534 | 0.617787 | 0.612130
google/embeddinggemma-300m,baseline,-,3,Beton NPK F,Bohrpfahlbeton,Bohrpfahlbeton,1,Betonziegel,0.690758,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Betonziegel | Magerbeton | Hartbeton einschichtig | Betonfertigteil normalfest | Betonfertigteil hochfest | Bohrpfahlbeton | Tiefbaubeton | Glasfaserbeton | Hartbeton zweischichtig | Faserzementplatte,0.690758 | 0.684822 | 0.682771 | 0.674347 | 0.672992 | 0.658032 | 0.651981 | 0.632662 | 0.609966 | 0.586437
google/embeddinggemma-300m,baseline,-,4,Magerbeton,Magerbeton,Magerbeton,1,Magerbeton,1.000000,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Magerbeton | Bohrpfahlbeton | Betonziegel | Hartbeton einschichtig | Glasfaserbeton | Tiefbaubeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Hartbeton zweischichtig | Faserzementplatte,1.000000 | 0.757756 | 0.750546 | 0.743926 | 0.731566 | 0.687720 | 0.684543 | 0.679942 | 0.675087 | 0.615899
google/embeddinggemma-300m,baseline,-,5,Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,Polyethylen PE,0.626331,27,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Polyethylen PE | Polyvinylchlorid PVC | Polystyrol PS | Polystyrol extrudiert XPS | Plexiglas PMMA Acrylglas | Polystyrol expandiert EPS | Polyethylenvlies PE | Polycarbonat PC | Bitumenemulsion | Glasfaserbeton,0.626331 | 0.619368 | 0.614725 | 0.598980 | 0.597130 | 0.593907 | 0.562047 | 0.560566 | 0.544487 | 0.529057
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,0,B500B,Armierungsstahl,Armierungsstahl,1,Bohrpfahlbeton,0.536370,29,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Bohrpfahlbeton | Glasfaserbeton | Bitumenemulsion | Brettschichtholz | Tiefbaubeton | Hartfaserplatte | Dichtungsbahn bituminös | Polycarbonat PC | Betonfertigteil hochfest | Baugrubensicherung Schlitzwand 400,0.536370 | 0.527201 | 0.508315 | 0.504358 | 0.504288 | 0.502481 | 0.502304 | 0.501295 | 0.501144 | 0.501061
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,1,Beton,Tiefbaubeton,Tiefbaubeton,1,Gusseisen,0.570458,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Gusseisen | Hartbeton einschichtig | Tiefbaubeton | Betonziegel | Blei | Glasfaserbeton | Backstein | Hartbeton zweischichtig | Betonfertigteil hochfest | Bitumenemulsion,0.570458 | 0.557184 | 0.555714 | 0.553835 | 0.543556 | 0.541431 | 0.536488 | 0.530112 | 0.524801 | 0.524357
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,2,Beton NPK G,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.672347,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,Glasfaserbeton | Tiefbaubeton | Magerbeton | Betonfertigteil hochfest | Bohrpfahlbeton | Gusseisen | Betonfertigteil normalfest | Hartbeton zweischichtig | Hartbeton einschichtig | Bitumenemulsion,0.672347 | 0.578730 | 0.549684 | 0.536433 | 0.524238 | 0.522063 | 0.519843 | 0.516805 | 0.516737 | 0.508870
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,3,Beton NPK F,Bohrpfahlbeton,Bohrpfahlbeton,1,Glasfaserbeton,0.590980,3,False,0.000000,1.000000,1.000000,0.333333,0.500000,0.333333,1.000000,Glasfaserbeton | Tiefbaubeton | Bohrpfahlbeton | Betonfertigteil hochfest | Betonfertigteil normalfest | Magerbeton | Hartbeton einschichtig | Hartbeton zweischichtig | Betonziegel | Faserzementplatte,0.590980 | 0.581591 | 0.568481 | 0.550651 | 0.534607 | 0.519710 | 0.517600 | 0.514839 | 0.511325 | 0.509673
google/embeddinggemma-300m,reranked,BAAI/bge-reranker-v2-m3,4,Magerbeton,Magerbeton,Magerbeton,1,Magerbeton,0.731020,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,Magerbeton | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton einschichtig | Bohrpfahlbeton | Kalksandstein | Betonziegel | Hartbeton zweischichtig | Gussasphalt | Glasfaserbeton,0.731020 | 0.593099 | 0.536952 | 0.524507 | 0.523429 | 0.521197 | 0.512402 | 0.511883 | 0.509534 | 0.509349
