model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
google/embeddinggemma-300m,0,IfcBeam GIRDER_SEGMENT Randbord Beton NPK G Test-Kommentar Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.573758,12,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Hartbeton einschichtig | Betonfertigteil normalfest | Betonfertigteil hochfest | Bohrpfahlbeton | Magerbeton | Glasfaserbeton | Baugrubensicherung Spundwand auskragend | Hartbeton zweischichtig | Betonziegel | Tiefgründung Vorgefertigter Betonpfahl,0.573758 | 0.566456 | 0.559705 | 0.559076 | 0.554316 | 0.544905 | 0.512066 | 0.511047 | 0.510711 | 0.504895
google/embeddinggemma-300m,1,IfcBeam EDGEBEAM Randbord Beton NPK G Randträger bewehrt Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Betonfertigteil normalfest,0.565611,8,False,0.000000,0.000000,1.000000,0.125000,0.315465,0.125000,1.000000,Betonfertigteil normalfest | Glasfaserbeton | Bohrpfahlbeton | Magerbeton | Betonfertigteil hochfest | Hartbeton einschichtig | Betonziegel | Tiefbaubeton | Hartbeton zweischichtig | Kunststeinplatte zementgebunden,0.565611 | 0.562081 | 0.557555 | 0.556413 | 0.553086 | 0.552577 | 0.539413 | 0.508291 | 0.505333 | 0.503121
google/embeddinggemma-300m,2,IfcBeam PIERCAP Pfahlkopf Beton NPK G Pfahlkopf-Fundament Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefgründung Vorgefertigter Betonpfahl,0.599337,12,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700 | Glasfaserbeton | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Hartbeton einschichtig | Betonfertigteil normalfest | Magerbeton,0.599337 | 0.578511 | 0.568905 | 0.564453 | 0.557451 | 0.556237 | 0.547071 | 0.542238 | 0.541853 | 0.541248
google/embeddinggemma-300m,3,IfcBeam	BEAM Beton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.625717,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Bohrpfahlbeton | Betonziegel | Hartbeton einschichtig | Glasfaserbeton | Magerbeton | Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.625717 | 0.622539 | 0.614178 | 0.610121 | 0.604320 | 0.585848 | 0.575770 | 0.566014 | 0.557242 | 0.509013
google/embeddinggemma-300m,4,IfcBeam	CORNICE Beton,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Bohrpfahlbeton,0.635212,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Bohrpfahlbeton | Betonziegel | Glasfaserbeton | Magerbeton | Hartbeton einschichtig | Betonfertigteil normalfest | Tiefbaubeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.635212 | 0.621639 | 0.621086 | 0.619334 | 0.608705 | 0.586987 | 0.584219 | 0.581378 | 0.560990 | 0.527857
google/embeddinggemma-300m,5,IfcBeam	DIAPHRAGM Beton,Tiefbaubeton,Tiefbaubeton,1,Magerbeton,0.657156,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Magerbeton | Bohrpfahlbeton | Glasfaserbeton | Hartbeton einschichtig | Betonziegel | Tiefbaubeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl,0.657156 | 0.641088 | 0.639059 | 0.622120 | 0.605307 | 0.601849 | 0.595557 | 0.591516 | 0.583235 | 0.528654
google/embeddinggemma-300m,6,IfcBeam	EDGEBEAM Beton,Tiefbaubeton,Tiefbaubeton,1,Betonziegel,0.617745,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Betonziegel | Bohrpfahlbeton | Magerbeton | Hartbeton einschichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefbaubeton | Hartbeton zweischichtig | Betonfertigteil hochfest | Kunststeinplatte zementgebunden,0.617745 | 0.610549 | 0.601759 | 0.600211 | 0.599674 | 0.565851 | 0.565529 | 0.557569 | 0.555540 | 0.499802
google/embeddinggemma-300m,7,IfcBeam	GIRDER_SEGMENT Beton,Tiefbaubeton,Tiefbaubeton,1,Glasfaserbeton,0.609607,8,False,0.000000,0.000000,1.000000,0.125000,0.315465,0.125000,1.000000,Glasfaserbeton | Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Betonziegel | Betonfertigteil hochfest | Betonfertigteil normalfest | Tiefbaubeton | Hartbeton zweischichtig | Faserzementplatte,0.609607 | 0.606134 | 0.602191 | 0.595757 | 0.586268 | 0.586043 | 0.584965 | 0.574256 | 0.557544 | 0.528392
google/embeddinggemma-300m,8,IfcBeam	HATSTONE Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.674743,8,False,0.000000,0.000000,1.000000,0.125000,0.315465,0.125000,1.000000,Hartbeton einschichtig | Bohrpfahlbeton | Magerbeton | Glasfaserbeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Betonziegel | Tiefbaubeton | Betonfertigteil normalfest | Faserzementplatte,0.674743 | 0.649747 | 0.642539 | 0.630172 | 0.629238 | 0.627005 | 0.626827 | 0.609739 | 0.606021 | 0.538643
google/embeddinggemma-300m,9,IfcBeam	HOLLOWCORE Beton,Tiefbaubeton,Tiefbaubeton,1,Bohrpfahlbeton,0.673462,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Bohrpfahlbeton | Hartbeton einschichtig | Magerbeton | Glasfaserbeton | Betonfertigteil hochfest | Betonziegel | Tiefbaubeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Faserzementplatte,0.673462 | 0.654422 | 0.632797 | 0.630498 | 0.626845 | 0.612227 | 0.604642 | 0.602011 | 0.578384 | 0.529810
