model,query_id,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,top10_materials,top10_scores
google/embeddinggemma-300m,0,Beam GIRDER_SEGMENT Randbord Beton NPK G Test-Kommentar Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.577875,17,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Hartbeton einschichtig | Magerbeton | Betonfertigteil normalfest | Bohrpfahlbeton | Betonfertigteil hochfest | Glasfaserbeton | Baugrubensicherung Spundwand auskragend | Tiefgründung Vorgefertigter Betonpfahl | Hartbeton zweischichtig | Betonziegel,0.577875 | 0.555417 | 0.552931 | 0.552131 | 0.548114 | 0.521419 | 0.513262 | 0.506190 | 0.503825 | 0.503512
google/embeddinggemma-300m,1,Beam EDGEBEAM Randbord Beton NPK G Randträger bewehrt Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.566927,9,False,0.000000,0.000000,1.000000,0.111111,0.301030,0.111111,1.000000,Hartbeton einschichtig | Magerbeton | Betonfertigteil normalfest | Betonfertigteil hochfest | Bohrpfahlbeton | Betonziegel | Glasfaserbeton | Hartbeton zweischichtig | Tiefbaubeton | Kunststeinplatte zementgebunden,0.566927 | 0.562119 | 0.561018 | 0.550528 | 0.549868 | 0.535388 | 0.532575 | 0.508096 | 0.506627 | 0.500995
google/embeddinggemma-300m,2,Beam PIERCAP Pfahlkopf Beton NPK G Pfahlkopf-Fundament Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefgründung Vorgefertigter Betonpfahl,0.597292,12,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Tiefgründung Vorgefertigter Betonpfahl | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Hartbeton einschichtig | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Magerbeton | Glasfaserbeton | Betonfertigteil hochfest,0.597292 | 0.590460 | 0.577126 | 0.572242 | 0.556437 | 0.554449 | 0.554056 | 0.547436 | 0.546685 | 0.534523
google/embeddinggemma-300m,3,Beam BEAM Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.716756,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Hartbeton einschichtig | Bohrpfahlbeton | Betonziegel | Magerbeton | Tiefbaubeton | Betonfertigteil normalfest | Glasfaserbeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Faserzementplatte,0.716756 | 0.706842 | 0.704173 | 0.698142 | 0.674337 | 0.653368 | 0.650971 | 0.645433 | 0.628678 | 0.571974
google/embeddinggemma-300m,4,Beam CORNICE Beton,Betonfertigteil normalfest,Betonfertigteil normalfest,1,Hartbeton einschichtig,0.658406,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Hartbeton einschichtig | Betonziegel | Bohrpfahlbeton | Magerbeton | Betonfertigteil normalfest | Tiefbaubeton | Glasfaserbeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Kunststeinplatte zementgebunden,0.658406 | 0.657296 | 0.648609 | 0.647268 | 0.603771 | 0.602323 | 0.594580 | 0.590309 | 0.572459 | 0.518076
google/embeddinggemma-300m,5,Beam DIAPHRAGM Beton,Tiefbaubeton,Tiefbaubeton,1,Magerbeton,0.707888,6,False,0.000000,0.000000,1.000000,0.166667,0.356207,0.166667,1.000000,Magerbeton | Hartbeton einschichtig | Bohrpfahlbeton | Betonziegel | Glasfaserbeton | Tiefbaubeton | Hartbeton zweischichtig | Betonfertigteil normalfest | Betonfertigteil hochfest | Tiefgründung Vorgefertigter Betonpfahl,0.707888 | 0.688635 | 0.684076 | 0.651326 | 0.646875 | 0.646148 | 0.634067 | 0.620090 | 0.609304 | 0.571237
google/embeddinggemma-300m,6,Beam EDGEBEAM Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.666995,5,False,0.000000,1.000000,1.000000,0.200000,0.386853,0.200000,1.000000,Hartbeton einschichtig | Betonziegel | Bohrpfahlbeton | Magerbeton | Tiefbaubeton | Betonfertigteil normalfest | Glasfaserbeton | Betonfertigteil hochfest | Hartbeton zweischichtig | Tiefgründung Vorgefertigter Betonpfahl,0.666995 | 0.661933 | 0.659652 | 0.656077 | 0.630274 | 0.620877 | 0.617054 | 0.610959 | 0.583967 | 0.551524
google/embeddinggemma-300m,7,Beam GIRDER_SEGMENT Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.666934,8,False,0.000000,0.000000,1.000000,0.125000,0.315465,0.125000,1.000000,Hartbeton einschichtig | Bohrpfahlbeton | Magerbeton | Glasfaserbeton | Betonfertigteil normalfest | Betonziegel | Betonfertigteil hochfest | Tiefbaubeton | Hartbeton zweischichtig | Faserzementplatte,0.666934 | 0.650163 | 0.650089 | 0.632013 | 0.627195 | 0.626065 | 0.623179 | 0.605515 | 0.586146 | 0.545400
google/embeddinggemma-300m,8,Beam HATSTONE Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.743025,7,False,0.000000,0.000000,1.000000,0.142857,0.333333,0.142857,1.000000,Hartbeton einschichtig | Magerbeton | Bohrpfahlbeton | Betonziegel | Betonfertigteil hochfest | Hartbeton zweischichtig | Tiefbaubeton | Glasfaserbeton | Betonfertigteil normalfest | Kunststeinplatte zementgebunden,0.743025 | 0.691879 | 0.686595 | 0.676934 | 0.668321 | 0.665396 | 0.659941 | 0.629632 | 0.628296 | 0.564027
google/embeddinggemma-300m,9,Beam HOLLOWCORE Beton,Tiefbaubeton,Tiefbaubeton,1,Hartbeton einschichtig,0.731726,4,False,0.000000,1.000000,1.000000,0.250000,0.430677,0.250000,1.000000,Hartbeton einschichtig | Bohrpfahlbeton | Magerbeton | Tiefbaubeton | Betonziegel | Betonfertigteil hochfest | Hartbeton zweischichtig | Glasfaserbeton | Betonfertigteil normalfest | Tiefgründung Vorgefertigter Betonpfahl,0.731726 | 0.722867 | 0.687421 | 0.670110 | 0.668705 | 0.665636 | 0.637718 | 0.635763 | 0.609619 | 0.557463
